-1.9999999999999991,-1.9999999999999991,-1.9999999999999991,-1.9999999999999991
elevator,-12.106235761615748,-10.153235338689413,-13.174405586225934,-11.547858506058416
long,-9.748683756997664,-10.246344743080895,-10.952013164889486,-11.062431678888174
hallway,-11.018772920365409,-11.45279562054832,-14.75936808694709,-14.86978660094578
wasnt,-9.491525917500539,-9.831307243802051,-12.174405586225934,-11.284824100224624
already,-11.106235761615748,-11.34588041663181,-12.437439992059728,-13.86978660094578
bad,-9.713918338836987,-9.905307825245828,-12.437439992059728,-11.547858506058416
stay,-7.3851365729085625,-7.645440698490717,-6.9649522205969845,-7.377933504616104
ordered,-11.018772920365409,-12.568272837968257,-12.437439992059728,-11.699861599503468
service,-7.887067241153586,-8.087146148231641,-8.235806130890078,-8.426843105097051
took,-9.152039451228873,-9.9833103372471,-10.589443085504778,-10.96289600533726
hour,-9.582673805558734,-10.693803720052117,-11.589443085504778,-13.284824100224624
half,-11.106235761615748,-11.568272837968257,-13.75936808694709,-12.86978660094578
delivered,-12.298880839558143,-11.34588041663181,-12.75936808694709,-11.86978660094578
didnt,-8.936310760173436,-8.943781973060464,-9.952013164889486,-9.740503584000813
air,-10.248254766488175,-11.45279562054832,-12.437439992059728,-12.062431678888174
conditioning,-12.298880839558143,-13.568272837968257,-14.75936808694709,-13.86978660094578
would,-7.5288069335799985,-7.702024226857084,-8.045122569280968,-7.892506677445863
say,-9.37831530705255,-9.568272837968257,-10.004480584783622,-9.96289600533726
everything,-10.462379571841023,-10.45279562054832,-9.299936468309793,-9.25507675683057
completely,-11.405796043474655,-11.568272837968257,-11.75936808694709,-12.284824100224624
miserable,-12.784307666728385,-13.568272837968257,-14.75936808694709,-14.86978660094578
traveling,-12.784307666728385,-12.568272837968257,-11.174405586225934,-12.86978660094578
kind,-11.106235761615748,-11.568272837968257,-11.75936808694709,-11.547858506058416
business,-10.35134825945228,-9.693803720052117,-9.004480584783622,-9.825392481587325
hope,-12.106235761615748,-13.153235338689413,-13.174405586225934,-13.86978660094578
decide,-13.521273260894592,-13.568272837968257,-12.437439992059728,-14.86978660094578
choose,-12.784307666728385,-11.693803720052117,-11.75936808694709,-11.86978660094578
hotel,-5.959030836673519,-6.267538965350018,-5.8256774319948565,-6.078623712390761
quite,-11.106235761615748,-10.246344743080895,-10.952013164889486,-10.782323759695439
surprised,-12.106235761615748,-12.568272837968257,-12.75936808694709,-11.86978660094578
like,-8.117551074843583,-8.778195907342488,-8.67190524569675,-8.847418787917324
city,-10.248254766488175,-10.568272837968257,-8.737000273918635,-9.062431678888174
definitely,-10.582673805558734,-11.568272837968257,-8.54991472131814,-9.621859087502193
trip,-10.248254766488175,-10.509379148914688,-9.473965868084843,-9.86978660094578
negative,-12.521273260894592,-13.153235338689413,-13.75936808694709,-11.410354982308482
experience,-8.748683756997664,-9.568272837968257,-8.978008373422432,-9.86978660094578
recently,-9.64680414297845,-12.153235338689413,-9.852477491338572,-10.96289600533726
affina,-13.106235761615748,-15.153235338689413,-14.75936808694709,-12.547858506058416
really,-9.491525917500539,-9.568272837968257,-8.926478072782349,-9.062431678888174
dissappointed,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
arrived,-8.877417071119867,-9.867833119827164,-11.299936468309793,-10.477469178167018
clerk,-9.936310760173436,-11.065772497439074,-13.174405586225934,-13.86978660094578
slow,-10.713918338836987,-11.065772497439074,-14.75936808694709,-12.547858506058416
checking,-10.462379571841023,-11.246344743080895,-13.174405586225934,-11.86978660094578
feel,-10.64680414297845,-10.6296733826324,-9.901387091819519,-10.477469178167018
turtles,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
could,-8.567076950507717,-8.726970583987315,-9.204779235269454,-9.08842688742112
checked,-9.55164690993811,-10.065772497439074,-10.952013164889486,-10.96289600533726
faster,-14.106235761615748,-14.153235338689413,-14.75936808694709,-14.86978660094578
finally,-8.713918338836987,-10.398347836525945,-13.174405586225934,-12.86978660094578
8th,-14.106235761615748,-15.153235338689413,-14.75936808694709,-13.86978660094578
floor,-10.248254766488175,-9.044710881911245,-11.75936808694709,-9.011805605818207
ride,-12.298880839558143,-12.568272837968257,-13.75936808694709,-12.062431678888174
seemed,-9.018772920365409,-10.693803720052117,-11.589443085504778,-12.062431678888174
take,-10.106235761615748,-10.153235338689413,-10.589443085504778,-10.062431678888174
forever,-11.64680414297845,-13.153235338689413,-13.75936808694709,-14.86978660094578
first,-8.877417071119867,-9.270592289327572,-9.401816082329006,-9.699861599503468
glance,-13.106235761615748,-13.568272837968257,-14.75936808694709,-14.86978660094578
looked,-9.55164690993811,-10.246344743080895,-11.952013164889486,-11.547858506058416
great,-9.97695274467078,-8.645440698490717,-7.549914721318141,-6.933148661943209
looking,-9.713918338836987,-10.6296733826324,-9.805171776560215,-11.410354982308482
finger,-14.106235761615748,-15.153235338689413,-13.75936808694709,-13.86978660094578
smudges,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
glass,-13.106235761615748,-12.153235338689413,-12.75936808694709,-13.284824100224624
table,-13.106235761615748,-12.34588041663181,-13.75936808694709,-12.062431678888174
figured,-12.784307666728385,-13.153235338689413,-12.75936808694709,-14.86978660094578
maybe,-12.106235761615748,-11.34588041663181,-13.174405586225934,-12.86978660094578
cleanin,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
must,-11.298880839558143,-11.246344743080895,-10.852477491338572,-11.547858506058416
accidentally,-13.521273260894592,-14.153235338689413,-14.75936808694709,-13.86978660094578
touched,-13.106235761615748,-14.153235338689413,-14.75936808694709,-14.86978660094578
went,-8.839449220920846,-9.726970583987315,-10.36705066416833,-10.96289600533726
chouse,-14.106235761615748,-15.153235338689413,-13.174405586225934,-14.86978660094578
supper,-14.106235761615748,-15.153235338689413,-14.75936808694709,-13.86978660094578
evening,-12.298880839558143,-12.153235338689413,-11.952013164889486,-12.547858506058416
wait,-9.491525917500539,-10.398347836525945,-11.299936468309793,-10.96289600533726
meal,-12.106235761615748,-13.568272837968257,-11.174405586225934,-12.284824100224624
good,-9.152039451228873,-8.831307243802051,-9.805171776560215,-8.76126214416761
waitress,-13.521273260894592,-13.568272837968257,-14.75936808694709,-14.86978660094578
uptight,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
way,-9.462379571841023,-9.726970583987315,-9.75936808694709,-10.699861599503468
back,-8.784307666728385,-8.743844402551712,-8.901387091819519,-9.443521846243682
set,-11.521273260894592,-11.246344743080895,-12.174405586225934,-12.86978660094578
wake,-13.106235761615748,-13.153235338689413,-12.437439992059728,-14.86978660094578
call,-10.405796043474655,-9.480809996717918,-11.952013164889486,-11.699861599503468
6,-11.64680414297845,-11.34588041663181,-13.75936808694709,-11.86978660094578
next,-9.199345166007229,-9.320345324524672,-9.144658242831882,-9.699861599503468
morning,-9.784307666728385,-9.79568333407133,-11.952013164889486,-10.169346882804687
grateful,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
nice,-9.273345747451007,-8.924416648193532,-8.782088163447174,-8.299930992614831
actually,-10.784307666728385,-10.905307825245828,-11.589443085504778,-12.284824100224624
get,-8.273345747451007,-8.246344743080895,-9.174405586225934,-9.011805605818207
though,-9.858308248172163,-10.29525434356184,-11.437439992059728,-10.547858506058416
surprisingly,-14.106235761615748,-15.153235338689413,-13.75936808694709,-14.86978660094578
work,-9.713918338836987,-9.6296733826324,-10.004480584783622,-11.284824100224624
718,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
realized,-13.106235761615748,-12.34588041663181,-13.174405586225934,-14.86978660094578
received,-11.106235761615748,-11.34588041663181,-11.589443085504778,-12.284824100224624
upset,-13.106235761615748,-12.568272837968257,-14.75936808694709,-14.86978660094578
let,-11.298880839558143,-10.693803720052117,-12.174405586225934,-12.062431678888174
know,-10.582673805558734,-10.29525434356184,-10.589443085504778,-11.062431678888174
overall,-10.061841642257294,-10.693803720052117,-9.901387091819519,-10.699861599503468
worth,-10.936310760173436,-10.509379148914688,-10.36705066416833,-11.062431678888174
4,-12.521273260894592,-9.79568333407133,-13.174405586225934,-10.477469178167018
stars,-13.106235761615748,-12.568272837968257,-11.952013164889486,-13.284824100224624
given,-10.152039451228873,-10.509379148914688,-12.174405586225934,-12.062431678888174
price,-9.55164690993811,-9.568272837968257,-10.437439992059728,-10.11489909878231
quality,-10.582673805558734,-10.6296733826324,-10.852477491338572,-11.410354982308482
ratings,-13.521273260894592,-13.568272837968257,-14.75936808694709,-14.86978660094578
expect,-10.462379571841023,-11.246344743080895,-12.437439992059728,-12.062431678888174
better,-9.175498424052861,-9.246344743080895,-10.115511897172366,-10.410354982308482
anniversary,-10.936310760173436,-12.831307243802051,-11.952013164889486,-11.699861599503468
location,-10.152039451228873,-8.79568333407133,-9.086942744975595,-7.76126214416761
doesnt,-12.521273260894592,-11.9833103372471,-13.75936808694709,-12.547858506058416
make,-9.248254766488175,-10.29525434356184,-10.058928368805999,-10.547858506058416
poor,-10.858308248172163,-11.065772497439074,-13.75936808694709,-13.284824100224624
customer,-10.199345166007229,-10.568272837968257,-10.75936808694709,-11.86978660094578
rudeness,-13.106235761615748,-13.568272837968257,-14.75936808694709,-14.86978660094578
staff,-8.3647687752146,-8.29525434356184,-7.619816734548297,-7.679962042065762
cleaning,-10.64680414297845,-12.34588041663181,-13.174405586225934,-12.547858506058416
crew,-13.521273260894592,-14.153235338689413,-14.75936808694709,-14.86978660094578
forgot,-13.106235761615748,-13.153235338689413,-13.75936808694709,-13.86978660094578
vacuum,-13.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
last,-10.462379571841023,-10.153235338689413,-10.67190524569675,-10.86978660094578
since,-10.713918338836987,-10.246344743080895,-11.174405586225934,-10.699861599503468
hair,-11.106235761615748,-12.568272837968257,-13.75936808694709,-13.86978660094578
carpet,-10.582673805558734,-10.9833103372471,-13.75936808694709,-13.86978660094578
spent,-10.936310760173436,-11.34588041663181,-11.174405586225934,-11.86978660094578
money,-9.55164690993811,-10.34588041663181,-12.437439992059728,-11.86978660094578
normally,-13.106235761615748,-13.153235338689413,-12.75936808694709,-12.547858506058416
hoping,-11.64680414297845,-13.153235338689413,-14.75936808694709,-14.86978660094578
luxury,-10.462379571841023,-13.568272837968257,-9.901387091819519,-13.284824100224624
left,-9.614382665286072,-10.199039028302538,-11.299936468309793,-10.782323759695439
unsatisfied,-13.521273260894592,-15.153235338689413,-14.75936808694709,-14.86978660094578
high,-10.248254766488175,-10.831307243802051,-10.589443085504778,-10.699861599503468
end,-11.018772920365409,-11.568272837968257,-12.75936808694709,-10.86978660094578
magnificent,-12.521273260894592,-12.831307243802051,-11.174405586225934,-10.284824100224624
mile,-12.298880839558143,-12.34588041663181,-10.952013164889486,-9.782323759695439
best,-10.64680414297845,-10.905307825245828,-9.115511897172366,-9.477469178167018
option,-12.784307666728385,-13.153235338689413,-12.437439992059728,-12.86978660094578
central,-13.521273260894592,-13.568272837968257,-13.75936808694709,-12.86978660094578
convenient,-13.521273260894592,-12.831307243802051,-11.174405586225934,-11.284824100224624
hike,-14.106235761615748,-14.153235338689413,-14.75936808694709,-14.86978660094578
navy,-13.106235761615748,-12.831307243802051,-11.174405586225934,-9.96289600533726
pier,-13.106235761615748,-12.568272837968257,-11.174405586225934,-10.011805605818207
claims,-12.298880839558143,-15.153235338689413,-14.75936808694709,-14.86978660094578
official,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
shops,-14.106235761615748,-13.568272837968257,-12.75936808694709,-12.284824100224624
secondly,-13.106235761615748,-14.153235338689413,-14.75936808694709,-14.86978660094578
small,-10.152039451228873,-9.480809996717918,-11.952013164889486,-10.11489909878231
215,-14.106235761615748,-14.153235338689413,-14.75936808694709,-14.86978660094578
rooms,-8.462379571841023,-8.6296733826324,-7.978008373422431,-8.11489909878231
miniscule,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
comparison,-14.106235761615748,-15.153235338689413,-14.75936808694709,-13.86978660094578
area,-10.405796043474655,-9.9833103372471,-8.852477491338572,-9.410354982308482
thirdly,-14.106235761615748,-14.153235338689413,-14.75936808694709,-14.86978660094578
restaurant,-10.582673805558734,-10.45279562054832,-9.473965868084843,-9.377933504616104
lounge,-13.521273260894592,-13.568272837968257,-11.437439992059728,-12.547858506058416
offer,-10.784307666728385,-10.905307825245828,-11.174405586225934,-11.86978660094578
menu,-11.936310760173436,-13.153235338689413,-11.75936808694709,-12.062431678888174
seems,-10.858308248172163,-11.568272837968257,-12.75936808694709,-12.86978660094578
bit,-10.858308248172163,-10.509379148914688,-11.589443085504778,-9.96289600533726
bizarre,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
rude,-9.273345747451007,-10.10884121933096,-14.75936808694709,-13.86978660094578
staffs,-14.106235761615748,-15.153235338689413,-13.75936808694709,-13.86978660094578
witnessed,-14.106235761615748,-14.153235338689413,-14.75936808694709,-14.86978660094578
courtesy,-14.106235761615748,-15.153235338689413,-13.75936808694709,-13.284824100224624
outrageous,-12.784307666728385,-14.153235338689413,-14.75936808694709,-14.86978660094578
prices,-11.106235761615748,-13.568272837968257,-11.952013164889486,-13.284824100224624
ready,-9.97695274467078,-11.45279562054832,-13.174405586225934,-11.410354982308482
attitude,-11.64680414297845,-12.34588041663181,-14.75936808694709,-13.86978660094578
snobbery,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
greet,-14.106235761615748,-13.568272837968257,-13.75936808694709,-14.86978660094578
returned,-12.298880839558143,-11.568272837968257,-13.174405586225934,-11.284824100224624
weekend,-9.582673805558734,-10.246344743080895,-9.67190524569675,-10.225930411171055
wife,-9.858308248172163,-10.905307825245828,-9.805171776560215,-10.225930411171055
cant,-12.298880839558143,-10.509379148914688,-11.058928368805999,-10.346224644888766
even,-8.582673805558734,-8.466734811506194,-9.031447632383891,-9.512234596327696
begin,-13.106235761615748,-13.153235338689413,-13.75936808694709,-14.86978660094578
describe,-13.521273260894592,-14.153235338689413,-13.75936808694709,-14.86978660094578
awful,-11.784307666728385,-12.153235338689413,-13.75936808694709,-14.86978660094578
4pm,-13.521273260894592,-14.153235338689413,-14.75936808694709,-14.86978660094578
thursday,-13.521273260894592,-15.153235338689413,-14.75936808694709,-12.547858506058416
checkin,-10.784307666728385,-10.760917915910653,-12.437439992059728,-10.782323759695439
3pm,-13.521273260894592,-12.831307243802051,-14.75936808694709,-13.86978660094578
til,-14.106235761615748,-15.153235338689413,-14.75936808694709,-13.86978660094578
almost,-10.713918338836987,-10.831307243802051,-12.174405586225934,-12.062431678888174
5pm,-13.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
inside,-11.298880839558143,-12.153235338689413,-12.174405586225934,-12.284824100224624
smelled,-9.8208335427535,-11.831307243802051,-13.174405586225934,-13.284824100224624
ash,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
tray,-14.106235761615748,-14.153235338689413,-14.75936808694709,-14.86978660094578
obviously,-11.298880839558143,-12.153235338689413,-13.174405586225934,-13.284824100224624
someone,-9.8208335427535,-10.693803720052117,-14.75936808694709,-12.86978660094578
deactivated,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
detectors,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
somehow,-12.298880839558143,-13.568272837968257,-13.75936808694709,-13.86978660094578
smoking,-11.018772920365409,-11.246344743080895,-13.174405586225934,-14.86978660094578
decided,-9.582673805558734,-11.568272837968257,-10.75936808694709,-10.699861599503468
go,-9.223592712253906,-9.270592289327572,-9.630085070002124,-9.512234596327696
early,-11.199345166007229,-11.831307243802051,-13.75936808694709,-10.782323759695439
dinner,-11.521273260894592,-11.34588041663181,-10.004480584783622,-10.225930411171055
arriving,-11.64680414297845,-11.9833103372471,-13.75936808694709,-12.86978660094578
around,-9.55164690993811,-10.246344743080895,-10.437439992059728,-10.284824100224624
9pm,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
key,-10.936310760173436,-11.246344743080895,-13.174405586225934,-14.86978660094578
lobby,-9.67997100691365,-9.023952321744448,-10.36705066416833,-9.315197749268142
new,-10.298880839558143,-10.831307243802051,-11.437439992059728,-10.782323759695439
maids,-12.298880839558143,-15.153235338689413,-13.75936808694709,-12.547858506058416
started,-11.298880839558143,-12.568272837968257,-12.437439992059728,-13.86978660094578
knocking,-13.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
door,-9.748683756997664,-9.538525494574206,-11.437439992059728,-10.410354982308482
730,-14.106235761615748,-14.153235338689413,-14.75936808694709,-14.86978660094578
try,-11.784307666728385,-10.45279562054832,-12.437439992059728,-11.699861599503468
clean,-9.713918338836987,-9.568272837968257,-8.53054939645121,-8.225930411171055
disturb,-13.106235761615748,-14.153235338689413,-14.75936808694709,-13.86978660094578
sign,-11.405796043474655,-12.153235338689413,-14.75936808694709,-12.86978660094578
rest,-11.298880839558143,-12.568272837968257,-13.174405586225934,-12.284824100224624
wakeup,-13.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
downstairs,-11.936310760173436,-11.34588041663181,-13.174405586225934,-12.547858506058416
request,-11.64680414297845,-11.693803720052117,-13.75936808694709,-12.062431678888174
different,-11.106235761615748,-10.905307825245828,-11.589443085504778,-10.699861599503468
due,-11.521273260894592,-11.831307243802051,-13.174405586225934,-11.86978660094578
terrible,-10.462379571841023,-11.693803720052117,-14.75936808694709,-13.86978660094578
smell,-9.64680414297845,-13.568272837968257,-13.75936808694709,-12.86978660094578
assigned,-13.106235761615748,-12.831307243802051,-14.75936808694709,-13.86978660094578
employee,-12.106235761615748,-11.45279562054832,-13.75936808694709,-13.86978660094578
gave,-10.152039451228873,-10.199039028302538,-11.75936808694709,-11.699861599503468
condescending,-14.106235761615748,-12.831307243802051,-14.75936808694709,-14.86978660094578
look,-10.35134825945228,-10.831307243802051,-11.058928368805999,-11.284824100224624
sighed,-13.521273260894592,-15.153235338689413,-14.75936808694709,-14.86978660094578
eventually,-13.521273260894592,-11.9833103372471,-14.75936808694709,-14.86978660094578
enjoy,-11.298880839558143,-12.831307243802051,-10.67190524569675,-11.699861599503468
demeanor,-14.106235761615748,-14.153235338689413,-13.75936808694709,-14.86978660094578
encountered,-13.521273260894592,-12.34588041663181,-13.75936808694709,-12.86978660094578
fairly,-11.936310760173436,-12.831307243802051,-14.75936808694709,-14.86978660094578
relatively,-12.521273260894592,-15.153235338689413,-13.75936808694709,-13.86978660094578
uneventful,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
taste,-12.784307666728385,-13.568272837968257,-12.437439992059728,-12.86978660094578
mouth,-13.106235761615748,-13.568272837968257,-13.75936808694709,-14.86978660094578
likely,-13.521273260894592,-13.568272837968257,-13.75936808694709,-14.86978660094578
wont,-10.713918338836987,-11.693803720052117,-12.75936808694709,-12.284824100224624
week,-11.521273260894592,-10.831307243802051,-11.589443085504778,-11.284824100224624
studio,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
suite,-10.248254766488175,-10.693803720052117,-9.805171776560215,-9.699861599503468
extra,-10.462379571841023,-11.246344743080895,-11.058928368805999,-11.284824100224624
payment,-13.521273260894592,-14.153235338689413,-14.75936808694709,-14.86978660094578
absolute,-13.106235761615748,-14.153235338689413,-13.75936808694709,-14.86978660094578
nightmare,-12.106235761615748,-14.153235338689413,-14.75936808694709,-14.86978660094578
listed,-13.521273260894592,-14.153235338689413,-14.75936808694709,-13.86978660094578
oversized,-14.106235761615748,-13.568272837968257,-14.75936808694709,-13.86978660094578
nothing,-9.64680414297845,-9.726970583987315,-11.952013164889486,-11.699861599503468
sort,-11.405796043474655,-12.568272837968257,-14.75936808694709,-13.86978660094578
weve,-14.106235761615748,-12.34588041663181,-13.174405586225934,-13.284824100224624
previously,-13.521273260894592,-13.568272837968257,-13.75936808694709,-14.86978660094578
regular,-12.784307666728385,-12.831307243802051,-13.75936808694709,-13.284824100224624
2,-10.784307666728385,-9.175955415189497,-12.174405586225934,-9.547858506058416
square,-14.106235761615748,-15.153235338689413,-13.75936808694709,-14.86978660094578
feet,-13.521273260894592,-12.831307243802051,-14.75936808694709,-14.86978660094578
smaller,-11.936310760173436,-12.153235338689413,-13.75936808694709,-12.547858506058416
believe,-11.405796043474655,-11.9833103372471,-11.299936468309793,-12.86978660094578
space,-12.298880839558143,-11.9833103372471,-13.174405586225934,-11.547858506058416
closet,-13.106235761615748,-12.34588041663181,-14.75936808694709,-12.547858506058416
isnt,-11.521273260894592,-11.9833103372471,-13.75936808694709,-13.284824100224624
useful,-14.106235761615748,-15.153235338689413,-14.75936808694709,-12.86978660094578
unless,-12.106235761615748,-11.9833103372471,-13.75936808694709,-14.86978660094578
plan,-12.784307666728385,-12.34588041663181,-11.437439992059728,-12.86978660094578
living,-13.521273260894592,-14.153235338689413,-11.75936808694709,-11.699861599503468
two,-9.55164690993811,-8.79568333407133,-10.174405586225934,-9.512234596327696
sons,-13.521273260894592,-14.153235338689413,-14.75936808694709,-14.86978660094578
us,-8.260745710671372,-8.034294265965906,-9.235806130890078,-8.443521846243682
sleeping,-12.106235761615748,-12.831307243802051,-13.174405586225934,-13.86978660094578
oldest,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
son,-12.521273260894592,-12.34588041663181,-12.174405586225934,-12.284824100224624
slept,-13.106235761615748,-12.153235338689413,-12.174405586225934,-11.699861599503468
couch,-13.106235761615748,-13.153235338689413,-14.75936808694709,-12.284824100224624
woke,-12.298880839558143,-11.568272837968257,-13.174405586225934,-13.86978660094578
multiple,-12.784307666728385,-12.831307243802051,-13.75936808694709,-13.86978660094578
times,-10.784307666728385,-10.246344743080895,-11.952013164889486,-11.86978660094578
time,-8.41973523443253,-8.831307243802051,-8.333103332244992,-9.08842688742112
complaining,-12.298880839558143,-13.568272837968257,-14.75936808694709,-14.86978660094578
bugs,-12.298880839558143,-12.34588041663181,-13.75936808694709,-13.284824100224624
moving,-14.106235761615748,-15.153235338689413,-14.75936808694709,-13.86978660094578
umcomfortable,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
also,-9.35134825945228,-8.84945459051231,-9.031447632383891,-8.76126214416761
sat,-12.298880839558143,-12.568272837968257,-13.174405586225934,-13.284824100224624
day,-9.491525917500539,-9.003488219184732,-9.852477491338572,-9.699861599503468
rock,-9.97695274467078,-10.6296733826324,-9.511440573503505,-10.621859087502193
horrible,-11.199345166007229,-12.568272837968257,-14.75936808694709,-13.86978660094578
47,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
minutes,-9.061841642257294,-9.6296733826324,-12.437439992059728,-11.547858506058416
deliver,-12.784307666728385,-12.568272837968257,-14.75936808694709,-14.86978660094578
pillow,-11.298880839558143,-12.831307243802051,-11.437439992059728,-12.547858506058416
10pm,-14.106235761615748,-14.153235338689413,-14.75936808694709,-13.86978660094578
family,-10.936310760173436,-10.29525434356184,-9.511440573503505,-11.284824100224624
never,-9.106235761615748,-8.661382242359739,-10.235806130890078,-10.284824100224624
highly,-11.784307666728385,-13.568272837968257,-9.75936808694709,-9.782323759695439
recommend,-9.748683756997664,-10.693803720052117,-8.67190524569675,-9.14186614638258
well,-9.858308248172163,-9.480809996717918,-9.058928368805999,-8.987143551583937
away,-10.152039451228873,-10.45279562054832,-9.714973967588637,-9.782323759695439
walls,-11.018772920365409,-10.693803720052117,-13.174405586225934,-13.284824100224624
thin,-12.106235761615748,-11.693803720052117,-14.75936808694709,-14.86978660094578
kept,-11.64680414297845,-11.568272837968257,-11.952013164889486,-12.284824100224624
night,-8.567076950507717,-8.438989821023291,-9.437439992059728,-8.679962042065762
party,-11.405796043474655,-11.831307243802051,-12.75936808694709,-14.86978660094578
going,-9.55164690993811,-10.29525434356184,-10.589443085504778,-10.410354982308482
mine,-12.298880839558143,-15.153235338689413,-12.75936808694709,-13.86978660094578
talked,-12.784307666728385,-15.153235338689413,-13.75936808694709,-13.86978660094578
management,-11.405796043474655,-11.34588041663181,-14.75936808694709,-14.86978660094578
several,-10.64680414297845,-10.45279562054832,-11.952013164889486,-11.169346882804687
done,-11.199345166007229,-11.246344743080895,-11.75936808694709,-11.699861599503468
may,-11.936310760173436,-10.905307825245828,-13.174405586225934,-12.284824100224624
people,-9.405796043474655,-9.693803720052117,-11.75936808694709,-10.062431678888174
contact,-12.106235761615748,-13.153235338689413,-13.75936808694709,-12.547858506058416
thought,-10.35134825945228,-10.905307825245828,-11.75936808694709,-11.284824100224624
standoffish,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
unpleasant,-11.936310760173436,-12.153235338689413,-14.75936808694709,-14.86978660094578
especially,-11.405796043474655,-11.246344743080895,-10.511440573503505,-11.284824100224624
cost,-11.106235761615748,-11.34588041663181,-13.75936808694709,-11.699861599503468
staying,-9.199345166007229,-9.867833119827164,-9.437439992059728,-10.86978660094578
affnia,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
extremely,-10.858308248172163,-10.905307825245828,-10.235806130890078,-10.11489909878231
everyone,-12.106235761615748,-12.568272837968257,-10.511440573503505,-10.284824100224624
avoid,-11.784307666728385,-11.693803720052117,-14.75936808694709,-14.86978660094578
paid,-10.521273260894592,-10.153235338689413,-13.75936808694709,-10.96289600533726
700,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
nights,-10.582673805558734,-9.760917915910653,-10.174405586225934,-9.621859087502193
cheap,-11.405796043474655,-11.831307243802051,-13.75936808694709,-12.284824100224624
